video_id,title,description,channel,published_at,url,comment_sample
L-aq7U61X-M,MUI gegabah saat memfatwakan sound horeg haram?,,DENEY TV,2025-07-28T12:54:42Z,https://www.youtube.com/watch?v=L-aq7U61X-M,"['Kumaha maneh .', 'Ulama untuk diikuti. Bukan ulama ngikuti umat']"
9DCMOqYTiXg,"Awal Mula Kemunculan Sound Horeg yang Kini Diharamkan MUI, Pengeras Suara Keperluan Hiburan",BANJARMASINPOST.CO.ID - Sound horeg merupakan fenomena penggunaan sound system berdaya sangat tinggi yang ...,Banjarmasin Post News Video,2025-07-24T15:37:40Z,https://www.youtube.com/watch?v=9DCMOqYTiXg,"['Telolet DILARANG karena bisa di tilang (DUIT), horeg dibiarkan, karena gak jadi duit😂😂😂😂😂 lucunya ...']"
N9CmLwgLTPs,FATWA MUI TENTANG SOUND HOREG HARAM❓Dawuh Gus Baha,FATWA MUI TENTANG SOUND HOREG HARAM❓Dawuh Gus Baha Gus Baha merupakan salah satu murid dari ulama ...,Sholeh_Official,2025-07-26T10:05:31Z,https://www.youtube.com/watch?v=N9CmLwgLTPs,['Ini ngaji gus baha sudah lama. Kok judulnya gak sesuai😂😂']
Dhrs7RKEGg4,Debat Panas Fatwa Sound Horeg Haram #soundhoregharam #horeg #soundsystem #soundhoreg #brewogaudio,,Cak Wah Channel,2025-07-28T05:29:55Z,https://www.youtube.com/watch?v=Dhrs7RKEGg4,"['Kembali kan sound nya ke ""system\'. ."" 🙏🏽']"
WHKPrrbqr64,GUS MUAFIQ TERBARU 2025 fatwa mui sound Horeg Haram ,gusmuafiq #gusmuafik #livegusmuafiq #ceramahlucu #pengajian #soundhoreg #soundhorek.,Nunut ngaji,2025-08-04T13:47:56Z,https://www.youtube.com/watch?v=WHKPrrbqr64,"['Nyimak tausyiah ustadz Gus muafiq,👍']"
THqzpU11KRg,Pengusaha Sound Horeg Brewog: Kita Ikuti Arahan MUI dan Pemerintah | Dua Sisi tvOne,"Dua Sisi, https://www.tvOnenews.com - Pengusaha Sound Horeg Brewog: Kita Ikuti Arahan MUI dan Pemerintah | Dua Sisi tvOne ...",tvOneNews ,2025-07-24T13:52:03Z,https://www.youtube.com/watch?v=THqzpU11KRg,"['SOUND HOREG KUCLUK', 'Kyai gak pernah ikut karnaval gak pernah lihat karnaval seenak jidat bilang haram, emang jatim milik islam aja', 'Tamu tamunya orang orang pansos ngak jelas 😂', 'Kalau emang brewog kaya raya, mendingan beli pulau deh atau minimal sewa,, sepuasnya sampe budeg 24jam stel horeg disana.', 'Sebetulnya sound horeg tetep perlu tapi jangan salah tempat, \nTempat untuk sound horeg adalah untuk acara panggung yg jauh dari pemukiman/perumahan']"
Ypg-u2otq9c,RESMI MUI Jawa Timur Keluarkan Fatwa Sound Horeg Haram #1034dfm #infoterkini #mui #horegjatim,,103.4 DFM,2025-07-17T08:11:28Z,https://www.youtube.com/watch?v=Ypg-u2otq9c,[]
u0Q26s3NuoA,MUI Jatim Setuju: Sound Horeg Dinyatakan Haram! #fypシ゚viral #shortvideo #beritaviral,MUI Jawa Timur akhirnya setuju dengan fatwa haram terhadap sound horeg dari Ponpes Pasuruan. Alasan utamanya?,Netizen viral,2025-07-04T02:53:38Z,https://www.youtube.com/watch?v=u0Q26s3NuoA,[]
3cOf8_EHY8Y,"FATWA HARAM SOUND HOREG PICU POLEMIK, GUS ROFI&#39;I SINDIR MUI",gusrofii #barisanksatrianusantara #bkn #soundhoreg #soundhoregjawatimur #fatwamui #beritaviral #beritanasional.,2sisidotid,2025-07-25T04:03:42Z,https://www.youtube.com/watch?v=3cOf8_EHY8Y,['MUI  coba sindir korupsi.bagi fatwa apa oknum korupsi.....']
DjfhxwYe6r8,"Pelaku Usaha Sound Horeg Teriak, Fatwa MUI Dinilai Sepihak #infocepat #beranda","Majelis Ulama Indonesia (MUI) Jawa Timur resmi mengeluarkan fatwa haram terhadap penggunaan sound horeg, terutama yang ...",Hanya Berbagi,2025-07-15T02:05:00Z,https://www.youtube.com/watch?v=DjfhxwYe6r8,"['Setuju MUI, memang banyak mudharat dan maksiatnya. Jangan memikirkan keuntungan sendiri saja. Pemda hsrus turun tangan melarang krn sdh mengganggu lingkungan', 'Horeg itu polusi suara.', 'Hapuskan budaya yg merusak', 'Sound sistem horeg haram tp mkn duit hasil korupsi halal 😅😅😅😅', 'Budaya lokalnya dimane annjer wkwkwk']"
